Period,Series_reference,
2011.06,BDCQ.SEA1AA,
2011.09,BDCQ.SEA1AA,
2011.12,BDCQ.SEA1AA,
2012.03,BDCQ.SEA1AA,
2012.06,BDCQ.SEA1AA,
2012.09,BDCQ.SEA1AA,
2012.12,BDCQ.SEA1AA,
2013.03,BDCQ.SEA1AA,
2013.06,BDCQ.SEA1AA,
2013.09,BDCQ.SEA1AA,
2013.12,BDCQ.SEA1AA,
2014.03,BDCQ.SEA1AA,
2014.06,BDCQ.SEA1AA,
2014.09,BDCQ.SEA1AA,
2014.12,BDCQ.SEA1AA,
2015.03,BDCQ.SEA1AA,
2015.06,BDCQ.SEA1AA,
2015.09,BDCQ.SEA1AA,
2015.12,BDCQ.SEA1AA,
2016.03,BDCQ.SEA1AA,
2016.06,BDCQ.SEA1AA,
2016.09,BDCQ.SEA1AA,
2016.12,BDCQ.SEA1AA,
2017.03,BDCQ.SEA1AA,
2017.06,BDCQ.SEA1AA,
2017.09,BDCQ.SEA1AA,
2017.12,BDCQ.SEA1AA,
year,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2012
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
2013
